PX%,발행시,6개월후,12개월후,18개월후,24개월후,30개월후,만기,PX,델타(발행시),델타(6개월),델타(12개월),델타(18개월),델타(24개월),델타(30개월),델타(만기),감마(발행시),감마(6개월),감마(12개월),감마(18개월),감마(24개월),감마(30개월),감마(만기)
50%,0.960431,0.965967,0.972324,0.979177,0.986098,0.993078,1,150.096,2.20%,1.21%,0.49%,0.13%,0.01%,0.00%,0.00%,0.07%,0.07%,0.04%,0.02%,0.00%,0.00%,0.00%
51%,0.960651,0.966091,0.972375,0.979191,0.986099,0.993078,1,151.582,2.28%,1.30%,0.54%,0.15%,0.02%,0.00%,0.00%,0.07%,0.07%,0.05%,0.02%,0.00%,0.00%,0.00%
51%,0.960879,0.966221,0.97243,0.979206,0.986101,0.993078,1,153.068,2.38%,1.38%,0.59%,0.16%,0.02%,0.00%,0.00%,0.07%,0.07%,0.05%,0.02%,0.00%,0.00%,0.00%
52%,0.961113,0.966358,0.97249,0.979223,0.986102,0.993078,1,154.554,2.46%,1.46%,0.64%,0.19%,0.02%,0.00%,0.00%,0.07%,0.08%,0.05%,0.03%,0.01%,0.00%,0.00%
52%,0.961353,0.966502,0.972554,0.979243,0.986104,0.993078,1,156.04,2.56%,1.55%,0.70%,0.22%,0.03%,0.00%,0.00%,0.08%,0.09%,0.06%,0.02%,0.01%,0.00%,0.00%
53%,0.961601,0.966654,0.972624,0.979265,0.986107,0.993078,1,157.527,2.66%,1.65%,0.77%,0.24%,0.03%,0.00%,0.00%,0.07%,0.09%,0.06%,0.03%,0.00%,0.00%,0.00%
54%,0.961855,0.966814,0.972699,0.979289,0.98611,0.993078,1,159.013,2.75%,1.75%,0.83%,0.27%,0.03%,0.00%,0.00%,0.07%,0.09%,0.06%,0.03%,0.00%,0.00%,0.00%
54%,0.962115,0.966981,0.97278,0.979316,0.986113,0.993078,1,160.499,2.85%,1.85%,0.90%,0.31%,0.04%,0.00%,0.00%,0.08%,0.10%,0.07%,0.04%,0.01%,0.00%,0.00%
55%,0.962382,0.967157,0.972866,0.979346,0.986117,0.993078,1,161.985,2.95%,1.96%,0.98%,0.35%,0.05%,0.00%,0.00%,0.08%,0.10%,0.08%,0.04%,0.01%,0.00%,0.00%
55%,0.962656,0.967341,0.97296,0.97938,0.986122,0.993078,1,163.471,3.05%,2.07%,1.06%,0.39%,0.06%,0.00%,0.00%,0.08%,0.10%,0.08%,0.04%,0.01%,0.00%,0.00%
55%,0.962937,0.967533,0.973059,0.979417,0.986127,0.993078,1,164.957,3.15%,2.18%,1.14%,0.43%,0.07%,0.00%,0.00%,0.08%,0.10%,0.09%,0.05%,0.01%,0.00%,0.00%
56%,0.963224,0.967733,0.973166,0.979458,0.986134,0.993078,1,166.443,3.25%,2.30%,1.24%,0.49%,0.08%,0.00%,0.00%,0.08%,0.11%,0.09%,0.05%,0.01%,0.00%,0.00%
56%,0.963518,0.967943,0.97328,0.979504,0.986141,0.993078,1,167.929,3.36%,2.42%,1.33%,0.54%,0.09%,0.00%,0.00%,0.08%,0.11%,0.10%,0.05%,0.02%,0.00%,0.00%
57%,0.963818,0.968161,0.973401,0.979553,0.98615,0.993078,1,169.415,3.46%,2.54%,1.43%,0.59%,0.11%,0.00%,0.00%,0.09%,0.11%,0.10%,0.06%,0.02%,0.00%,0.00%
57%,0.964125,0.968388,0.973531,0.979608,0.98616,0.993078,1,170.901,3.57%,2.66%,1.53%,0.66%,0.12%,0.00%,0.00%,0.09%,0.12%,0.11%,0.07%,0.02%,0.00%,0.00%
58%,0.964439,0.968624,0.973668,0.979668,0.986171,0.993078,1,172.388,3.68%,2.79%,1.64%,0.73%,0.14%,0.00%,0.00%,0.08%,0.13%,0.11%,0.07%,0.02%,0.00%,0.00%
59%,0.964759,0.96887,0.973814,0.979734,0.986184,0.993078,1,173.874,3.78%,2.93%,1.76%,0.80%,0.16%,0.00%,0.00%,0.09%,0.13%,0.12%,0.08%,0.03%,0.00%,0.00%
59%,0.965085,0.969125,0.973968,0.979805,0.986199,0.993078,1,175.36,3.89%,3.06%,1.88%,0.88%,0.19%,0.01%,0.00%,0.09%,0.13%,0.13%,0.09%,0.03%,0.00%,0.00%
60%,0.965418,0.969389,0.974132,0.979883,0.986217,0.993079,1,176.846,4.00%,3.20%,2.00%,0.97%,0.22%,0.01%,0.00%,0.09%,0.13%,0.13%,0.10%,0.03%,0.00%,0.00%
60%,0.965758,0.969663,0.974304,0.979968,0.986236,0.993079,1,178.332,4.11%,3.34%,2.13%,1.06%,0.25%,0.00%,0.00%,0.09%,0.14%,0.14%,0.10%,0.04%,0.00%,0.00%
60%,0.966103,0.969946,0.974487,0.980059,0.986258,0.993079,1,179.818,4.22%,3.49%,2.27%,1.16%,0.28%,0.01%,0.00%,0.10%,0.14%,0.15%,0.11%,0.04%,0.01%,0.00%
61%,0.966455,0.970239,0.974679,0.980159,0.986283,0.99308,1,181.304,4.34%,3.64%,2.41%,1.26%,0.32%,0.01%,0.00%,0.10%,0.15%,0.15%,0.12%,0.05%,0.00%,0.00%
61%,0.966814,0.970542,0.974882,0.980266,0.986311,0.993081,1,182.79,4.45%,3.79%,2.56%,1.38%,0.37%,0.01%,0.00%,0.09%,0.15%,0.16%,0.13%,0.05%,0.00%,0.00%
62%,0.967178,0.970855,0.975095,0.980383,0.986343,0.993081,1,184.276,4.56%,3.94%,2.71%,1.50%,0.42%,0.01%,0.00%,0.09%,0.15%,0.16%,0.13%,0.06%,0.01%,0.00%
62%,0.967549,0.971178,0.975319,0.980508,0.986378,0.993083,1,185.762,4.67%,4.10%,2.86%,1.62%,0.47%,0.02%,0.00%,0.10%,0.16%,0.18%,0.15%,0.07%,0.00%,0.00%
63%,0.967925,0.971511,0.975553,0.980642,0.986418,0.993084,1,187.249,4.79%,4.26%,3.04%,1.76%,0.54%,0.02%,0.00%,0.11%,0.18%,0.20%,0.17%,0.08%,0.00%,0.00%
64%,0.968309,0.971855,0.975801,0.980788,0.986463,0.993086,1,188.735,4.92%,4.45%,3.23%,1.92%,0.60%,0.03%,0.00%,0.11%,0.19%,0.21%,0.18%,0.08%,0.01%,0.00%
64%,0.968699,0.972211,0.976061,0.980944,0.986512,0.993088,1,190.221,5.04%,4.64%,3.41%,2.07%,0.67%,0.03%,0.00%,0.11%,0.20%,0.21%,0.19%,0.10%,0.01%,0.00%
65%,0.969096,0.97258,0.976334,0.981112,0.986568,0.993091,1,191.707,5.17%,4.82%,3.61%,2.24%,0.76%,0.04%,0.00%,0.12%,0.19%,0.23%,0.20%,0.10%,0.01%,0.00%
65%,0.9695,0.972959,0.976621,0.981292,0.98663,0.993094,1,193.193,5.30%,5.01%,3.82%,2.42%,0.85%,0.05%,0.00%,0.11%,0.20%,0.23%,0.22%,0.11%,0.01%,0.00%
65%,0.969911,0.973351,0.976922,0.981485,0.986698,0.993098,1,194.679,5.42%,5.21%,4.03%,2.62%,0.94%,0.06%,0.00%,0.11%,0.21%,0.24%,0.23%,0.12%,0.02%,0.00%
66%,0.970328,0.973755,0.977236,0.981692,0.986774,0.993103,1,196.165,5.54%,5.41%,4.24%,2.82%,1.05%,0.07%,0.00%,0.11%,0.20%,0.25%,0.24%,0.14%,0.02%,0.00%
66%,0.970751,0.97417,0.977565,0.981912,0.986857,0.993109,1,197.651,5.67%,5.60%,4.47%,3.03%,1.16%,0.09%,0.00%,0.11%,0.21%,0.26%,0.26%,0.15%,0.03%,0.00%
67%,0.971181,0.974597,0.977908,0.982147,0.986949,0.993117,1,199.137,5.80%,5.80%,4.70%,3.25%,1.29%,0.11%,0.00%,0.11%,0.21%,0.26%,0.27%,0.17%,0.03%,0.00%
67%,0.971617,0.975036,0.978266,0.982397,0.98705,0.993126,1,200.623,5.92%,6.00%,4.93%,3.48%,1.43%,0.13%,0.00%,0.11%,0.22%,0.27%,0.29%,0.18%,0.04%,0.00%
68%,0.972059,0.975486,0.978638,0.982663,0.987161,0.993137,1,202.11,6.06%,6.21%,5.17%,3.73%,1.58%,0.17%,0.00%,0.13%,0.25%,0.31%,0.32%,0.20%,0.05%,0.00%
69%,0.972508,0.97595,0.979027,0.982946,0.987283,0.993151,1,203.596,6.20%,6.45%,5.45%,4.01%,1.75%,0.21%,0.00%,0.13%,0.26%,0.32%,0.34%,0.23%,0.05%,0.00%
69%,0.972964,0.976428,0.979434,0.983248,0.987417,0.993167,1,205.082,6.34%,6.69%,5.73%,4.29%,1.94%,0.24%,0.00%,0.13%,0.26%,0.32%,0.36%,0.25%,0.05%,0.00%
70%,0.973427,0.976919,0.979857,0.983568,0.987564,0.993186,1,206.568,6.48%,6.92%,6.01%,4.59%,2.14%,0.28%,,,,,,,,
70%,0.973897,0.977424,0.980298,0.983908,0.987725,0.993208,1,208.054,9.57%,13.81%,16.66%,22.10%,26.76%,42.92%,,,,,,,,
70%,0.974794,0.978892,0.982237,0.986725,0.991386,0.999317,1.138,209.54,12.68%,20.77%,27.41%,39.75%,51.57%,85.82%,,,,,,,,
71%,0.975696,0.98037,0.984186,0.989546,0.995039,1.00538,1.138,211.026,12.84%,21.04%,27.74%,40.08%,51.81%,85.65%,,,,,,,,
71%,0.976602,0.981855,0.986144,0.992369,0.998682,1.01138,1.138,212.512,12.99%,21.29%,28.06%,40.37%,51.99%,85.31%,0.00%,0.09%,0.14%,0.15%,-0.01%,-0.25%,-1.55%,0.00%
72%,0.977513,0.983348,0.98811,0.995192,1.00231,1.01731,1.138,213.998,13.14%,21.54%,28.35%,40.63%,52.19%,84.68%,0.00%,0.06%,0.11%,0.12%,-0.10%,-0.28%,-1.89%,0.00%
72%,0.978427,0.984846,0.990081,0.998011,1.00593,1.02314,1.138,215.484,13.26%,21.75%,28.62%,40.79%,52.33%,83.86%,0.00%,0.05%,0.09%,0.10%,-0.13%,-0.37%,-2.12%,0.00%
73%,0.979343,0.986349,0.992058,1.00082,1.00953,1.02888,1.138,216.971,13.40%,21.97%,28.88%,41.01%,52.40%,82.91%,0.00%,0.06%,0.09%,0.09%,-0.14%,-0.47%,-2.43%,0.00%
74%,0.980263,0.987856,0.994038,1.00363,1.01311,1.0345,1.138,218.457,13.53%,22.17%,29.13%,41.16%,52.41%,81.66%,0.00%,0.05%,0.06%,0.06%,-0.25%,-0.58%,-2.84%,0.00%
74%,0.981184,0.989365,0.996021,1.00642,1.01666,1.03999,1.138,219.943,13.65%,22.35%,29.36%,41.22%,52.32%,80.15%,0.00%,0.03%,0.03%,0.02%,-0.33%,-0.60%,-3.18%,0.00%
75%,0.982107,0.990876,0.998005,1.0092,1.02018,1.04533,1.138,221.429,13.75%,22.51%,29.56%,41.28%,52.30%,78.45%,0.00%,0.01%,-0.01%,-0.01%,-0.39%,-0.61%,-3.44%,0.00%
75%,0.98303,0.992386,0.999988,1.01196,1.02368,1.05052,1.138,222.915,13.85%,22.64%,29.74%,41.25%,52.20%,76.58%,0.00%,-0.01%,-0.03%,-0.08%,-0.45%,-0.84%,-3.71%,0.00%
75%,0.983953,0.993895,1.00197,1.0147,1.02714,1.05554,1.138,224.401,13.93%,22.77%,29.84%,41.23%,51.87%,74.52%,0.00%,-0.01%,-0.06%,-0.14%,-0.51%,-0.97%,-3.99%,0.00%
76%,0.984875,0.995402,1.00394,1.01742,1.03055,1.06039,1.138,225.887,14.02%,22.87%,29.95%,41.12%,51.61%,72.28%,0.00%,-0.02%,-0.10%,-0.07%,-0.64%,-0.98%,-4.16%,0.00%
76%,0.985797,0.996904,1.00591,1.02011,1.03393,1.06505,1.138,227.373,14.08%,22.94%,30.14%,40.93%,51.26%,70.00%,0.00%,-0.05%,-0.12%,-0.12%,-0.70%,-1.11%,-4.27%,0.00%
77%,0.986716,0.998401,1.00788,1.02277,1.03725,1.06954,1.138,228.859,14.14%,23.01%,30.19%,40.74%,50.82%,67.61%,0.00%,-0.06%,-0.12%,-0.30%,-0.78%,-1.20%,-4.52%,0.00%
77%,0.987633,0.999892,1.00983,1.0254,1.04053,1.07383,1.138,230.345,14.19%,23.08%,30.14%,40.44%,50.36%,65.00%,0.00%,-0.08%,-0.19%,-0.31%,-0.91%,-1.33%,-4.70%,0.00%
78%,0.988547,1.00138,1.01177,1.02799,1.04375,1.07793,1.138,231.832,14.22%,23.07%,30.18%,40.08%,49.75%,62.38%,0.00%,-0.09%,-0.29%,-0.30%,-0.90%,-1.45%,-4.85%,0.00%
79%,0.989457,1.00285,1.0137,1.03054,1.04691,1.08183,1.138,233.318,14.26%,23.00%,30.15%,39.80%,49.14%,59.59%,0.00%,-0.11%,-0.29%,-0.42%,-0.98%,-1.59%,-4.97%,0.00%
79%,0.990363,1.00431,1.01561,1.03306,1.05001,1.08552,1.138,234.804,14.27%,22.99%,30.02%,39.34%,48.35%,56.80%,0.00%,-0.14%,-0.31%,-0.50%,-1.12%,-1.81%,-4.99%,0.00%
80%,0.991263,1.00576,1.0175,1.03552,1.05303,1.08902,1.138,236.29,14.26%,22.90%,29.89%,38.88%,47.46%,53.98%,0.00%,-0.16%,-0.38%,-0.44%,-1.14%,-1.83%,-5.12%,0.00%
80%,0.992157,1.00719,1.01937,1.03795,1.05598,1.09231,1.138,237.776,14.25%,22.80%,29.84%,38.40%,46.64%,51.04%,0.00%,-0.17%,-0.38%,-0.45%,-1.28%,-1.79%,-5.06%,0.00%
80%,0.993044,1.00861,1.02123,1.04032,1.05886,1.0954,1.138,239.262,14.23%,22.70%,29.71%,37.76%,45.81%,48.30%,0.00%,-0.18%,-0.45%,-0.65%,-1.36%,-1.94%,-4.86%,0.00%
81%,0.993924,1.01001,1.02306,1.04264,1.06167,1.09831,1.138,240.748,14.20%,22.52%,29.40%,37.18%,44.80%,45.61%,0.00%,-0.19%,-0.46%,-0.72%,-1.31%,-2.10%,-4.79%,0.00%
81%,0.994797,1.01139,1.02486,1.04491,1.06439,1.10103,1.138,242.234,14.17%,22.41%,29.18%,36.60%,43.77%,42.95%,0.00%,-0.21%,-0.47%,-0.66%,-1.33%,-2.06%,-4.72%,0.00%
82%,0.995662,1.01276,1.02664,1.04713,1.06704,1.10358,1.138,243.72,14.11%,22.22%,28.95%,36.00%,42.81%,40.35%,0.00%,-0.23%,-0.54%,-0.68%,-1.42%,-2.10%,-4.65%,0.00%
82%,0.996518,1.0141,1.02839,1.0493,1.06961,1.10595,1.138,245.206,14.05%,22.02%,28.70%,35.30%,41.73%,37.77%,0.00%,-0.24%,-0.55%,-0.76%,-1.57%,-2.26%,-4.50%,0.00%
83%,0.997366,1.01543,1.03012,1.05141,1.0721,1.10816,1.138,246.693,13.99%,21.82%,28.38%,34.52%,40.58%,35.35%,0.00%,-0.26%,-0.68%,-0.96%,-1.64%,-2.40%,-4.47%,0.00%
84%,0.998204,1.01673,1.03181,1.05346,1.0745,1.11021,1.138,248.179,13.91%,21.46%,27.89%,33.74%,39.33%,32.82%,0.00%,-0.27%,-0.83%,-1.04%,-1.73%,-2.43%,-4.45%,0.00%
84%,0.999032,1.018,1.03346,1.05545,1.07681,1.11209,1.138,249.665,13.83%,21.09%,27.47%,32.85%,38.14%,30.41%,0.00%,-0.27%,-0.78%,-0.99%,-1.83%,-2.40%,-4.16%,0.00%
85%,0.99985,1.01924,1.03508,1.05737,1.07904,1.11383,1.138,251.151,13.76%,20.79%,27.04%,31.94%,36.93%,28.22%,0.00%,-0.33%,-0.79%,-1.07%,-1.79%,-2.43%,-3.93%,0.00%
85%,1.00066,1.02046,1.03666,1.05923,1.08118,1.11543,1.138,252.637,13.60%,20.40%,26.52%,31.11%,35.70%,26.10%,0.00%,-0.35%,-0.87%,-1.08%,-1.73%,-2.46%,-3.83%,0.00%
85%,1.00145,1.02164,1.0382,1.06103,1.08324,1.1169,1.138,254.123,13.51%,20.01%,26.08%,30.27%,34.46%,24.03%,0.00%,-0.22%,-0.88%,-1.10%,-1.83%,-2.49%,-3.66%,0.00%
86%,1.00224,1.0228,1.03971,1.06277,1.08521,1.11824,1.138,255.609,13.50%,19.61%,25.54%,29.33%,33.20%,22.10%,0.00%,-0.30%,-0.89%,-1.26%,-2.00%,-2.51%,-3.40%,0.00%
86%,1.00302,1.02392,1.04117,1.06444,1.0871,1.11947,1.138,257.095,13.32%,19.20%,24.91%,28.29%,31.92%,20.33%,0.00%,-0.45%,-0.90%,-1.27%,-1.95%,-2.54%,-3.22%,0.00%
87%,1.00378,1.02502,1.04259,1.06604,1.0889,1.12059,1.138,258.581,13.14%,18.79%,24.36%,27.41%,30.63%,18.62%,0.00%,-0.38%,-0.99%,-1.22%,-1.82%,-2.51%,-3.03%,0.00%
87%,1.00453,1.02608,1.04397,1.06759,1.09062,1.12161,1.138,260.067,13.03%,18.28%,23.79%,26.51%,29.39%,17.06%,0.00%,-0.39%,-1.00%,-1.31%,-2.00%,-2.46%,-2.84%,0.00%
88%,1.00527,1.02711,1.04531,1.06907,1.09226,1.12254,1.138,261.554,12.84%,17.86%,23.14%,25.43%,28.15%,15.57%,0.00%,-0.46%,-1.08%,-1.46%,-2.08%,-2.62%,-2.71%,0.00%
89%,1.00599,1.02811,1.0466,1.07048,1.09382,1.12338,1.138,263.04,12.66%,17.26%,22.39%,24.43%,26.73%,14.16%,0.00%,-0.39%,-1.25%,-1.56%,-2.03%,-2.73%,-2.58%,0.00%
89%,1.0067,1.02906,1.04784,1.07183,1.09528,1.12414,1.138,264.526,12.55%,16.64%,21.63%,23.41%,25.37%,12.82%,0.00%,-0.48%,-1.27%,-1.58%,-2.14%,-2.61%,-2.46%,0.00%
90%,1.0074,1.02998,1.04903,1.07311,1.09667,1.12482,1.138,266.012,12.26%,16.02%,20.85%,22.29%,24.08%,11.55%,0.00%,-0.64%,-1.28%,-1.52%,-2.16%,-2.64%,-2.24%,0.00%
90%,1.00807,1.03085,1.05017,1.07432,1.09797,1.12543,1.138,267.498,11.97%,15.39%,20.16%,21.24%,22.68%,10.44%,0.00%,-0.49%,-1.22%,-1.54%,-2.03%,-2.59%,-2.03%,0.00%
90%,1.00873,1.03169,1.05127,1.07547,1.09919,1.12598,1.138,268.984,11.86%,14.84%,19.37%,20.27%,21.45%,9.41%,0.00%,-0.41%,-1.23%,-1.64%,-2.05%,-2.46%,-1.97%,0.00%
91%,1.00938,1.03249,1.05231,1.07656,1.10034,1.12647,1.138,270.47,11.65%,14.20%,18.57%,19.20%,20.20%,8.37%,0.00%,-0.50%,-1.24%,-1.57%,-2.07%,-2.48%,-1.82%,0.00%
91%,1.01001,1.03325,1.05331,1.07758,1.10141,1.1269,1.138,271.956,11.44%,13.63%,17.84%,18.21%,18.94%,7.50%,0.00%,-0.50%,-1.17%,-1.59%,-1.93%,-2.43%,-1.51%,0.00%
92%,1.01063,1.03398,1.05426,1.07855,1.10241,1.12729,1.138,273.442,11.22%,13.06%,17.02%,17.30%,17.76%,6.81%,0.00%,-0.60%,-1.27%,-1.61%,-1.95%,-2.37%,-1.36%,0.00%
92%,1.01123,1.03467,1.05516,1.07946,1.10334,1.12764,1.138,274.928,10.91%,12.39%,16.28%,16.28%,16.55%,6.10%,0.00%,-0.77%,-1.37%,-1.54%,-2.06%,-2.31%,-1.37%,0.00%
93%,1.01181,1.03532,1.05602,1.08031,1.1042,1.12795,1.138,276.415,10.51%,11.71%,15.53%,15.25%,15.43%,5.39%,0.00%,-0.86%,-1.38%,-1.72%,-2.07%,-2.24%,-1.30%,0.00%
94%,1.01236,1.03593,1.05683,1.0811,1.105,1.12822,1.138,277.901,10.10%,11.03%,14.59%,14.21%,14.31%,4.77%,0.00%,-0.87%,-1.48%,-1.92%,-2.09%,-2.27%,-1.05%,0.00%
94%,1.01289,1.0365,1.05758,1.08183,1.10573,1.12846,1.138,279.387,9.68%,10.25%,13.63%,13.16%,13.16%,4.32%,0.00%,-0.97%,-1.50%,-1.77%,-2.03%,-2.21%,-0.97%,0.00%
95%,1.01339,1.03702,1.05828,1.0825,1.1064,1.12868,1.138,280.873,9.17%,9.55%,12.85%,12.19%,12.10%,3.78%,0.00%,-1.07%,-1.43%,-1.61%,-1.96%,-2.14%,-0.98%,0.00%
95%,1.01386,1.03751,1.05894,1.08312,1.10701,1.12886,1.138,282.359,8.65%,8.84%,12.07%,11.21%,11.02%,3.33%,0.00%,-0.99%,-1.44%,-1.71%,-1.90%,-2.08%,-0.81%,0.00%
95%,1.0143,1.03795,1.05955,1.08368,1.10756,1.12903,1.138,283.845,8.21%,8.12%,11.17%,10.31%,10.03%,2.96%,0.00%,-0.91%,-1.37%,-1.73%,-1.73%,-1.92%,-0.73%,0.00%
96%,1.01472,1.03836,1.06011,1.0842,1.10806,1.12917,1.138,285.331,7.78%,7.49%,10.37%,9.50%,9.12%,2.59%,0.00%,-0.92%,-1.29%,-1.57%,-1.75%,-1.84%,-0.65%,0.00%
96%,1.01511,1.03873,1.06063,1.08467,1.10851,1.1293,1.138,286.817,7.33%,6.85%,9.65%,8.59%,8.20%,2.32%,0.00%,-0.84%,-1.30%,-1.49%,-1.77%,-1.86%,-0.56%,0.00%
97%,1.01548,1.03907,1.06111,1.08509,1.10891,1.12941,1.138,288.303,6.98%,6.21%,8.92%,7.76%,7.28%,2.04%,0.00%,-0.85%,-1.22%,-1.51%,-1.60%,-1.79%,-0.57%,0.00%
97%,1.01583,1.03937,1.06155,1.08547,1.10926,1.12951,1.138,289.789,6.53%,5.65%,8.19%,7.02%,6.43%,1.75%,0.00%,-1.14%,-1.14%,-1.62%,-1.62%,-1.62%,-0.48%,0.00%
98%,1.01615,1.03965,1.06195,1.08581,1.10957,1.12959,1.138,291.276,5.88%,5.09%,7.35%,6.17%,5.68%,1.57%,0.00%,-1.34%,-1.34%,-1.63%,-1.63%,-1.53%,-0.38%,0.00%
99%,1.01643,1.03989,1.0623,1.0861,1.10984,1.12967,1.138,292.762,5.22%,4.33%,6.60%,5.42%,4.93%,1.38%,0.00%,-1.36%,-1.45%,-1.45%,-1.45%,-1.45%,-0.39%,0.00%
99%,1.01668,1.04009,1.06262,1.08636,1.11007,1.12973,1.138,294.248,4.55%,3.66%,5.94%,4.75%,4.26%,1.19%,0.00%,-1.47%,-1.27%,-1.47%,-1.37%,-1.37%,-0.39%,0.00%
