PX, vold
0,-1.76942e-16
1.4861,0.00465909
2.9722,0.00931819
4.4583,0.0139773
5.9444,0.0186364
7.4305,0.0232955
8.9166,0.0279546
10.4027,0.0326137
11.8888,0.0372728
13.3749,0.0419319
14.861,0.0465909
16.3471,0.05125
17.8332,0.0559091
19.3193,0.0605682
20.8054,0.0652273
22.2915,0.0698864
23.7776,0.0745455
25.2637,0.0792046
26.7498,0.0838637
28.2359,0.0885228
29.722,0.093182
31.2081,0.0978411
32.6942,0.1025
34.1803,0.107159
35.6664,0.111819
37.1525,0.116478
38.6386,0.121137
40.1247,0.125797
41.6108,0.130457
43.0969,0.135116
44.583,0.139777
46.0691,0.144437
47.5552,0.149098
49.0413,0.153759
50.5274,0.15842
52.0135,0.163082
53.4996,0.167745
54.9857,0.172409
56.4718,0.177073
57.9579,0.181739
59.444,0.186405
60.9301,0.191073
62.4162,0.195743
63.9023,0.200413
65.3884,0.205086
66.8745,0.209761
68.3606,0.214437
69.8467,0.219116
71.3328,0.223798
72.8189,0.228482
74.305,0.233169
75.7911,0.237859
77.2772,0.242553
78.7633,0.247249
80.2494,0.25195
81.7355,0.256655
83.2216,0.261363
84.7077,0.266076
86.1938,0.270794
87.6799,0.275517
89.166,0.280244
90.6521,0.284976
92.1382,0.289714
93.6243,0.294458
95.1104,0.299207
96.5965,0.303962
98.0826,0.308723
99.5687,0.313491
101.055,0.318265
102.541,0.323045
104.027,0.327832
105.513,0.332626
106.999,0.337426
108.485,0.342234
109.971,0.347049
111.457,0.351871
112.944,0.3567
114.43,0.361536
115.916,0.36638
117.402,0.371232
118.888,0.37609
120.374,0.380956
121.86,0.38583
123.346,0.390711
124.832,0.395599
126.318,0.400495
127.805,0.405398
129.291,0.410309
130.777,0.415227
132.263,0.420152
133.749,0.425084
135.235,0.430023
136.721,0.434969
138.207,0.439922
139.693,0.444882
141.179,0.449848
142.666,0.454821
144.152,0.4598
145.638,0.464786
147.124,0.469777
148.61,0.474775
150.096,0.479778
151.582,0.484786
153.068,0.489801
154.554,0.49482
156.04,0.499845
157.527,0.504874
159.013,0.509908
160.499,0.514947
161.985,0.51999
163.471,0.525037
164.957,0.530088
166.443,0.535142
167.929,0.5402
169.415,0.545262
170.901,0.550326
172.388,0.555393
173.874,0.560463
175.36,0.565535
176.846,0.57061
178.332,0.575686
179.818,0.580764
181.304,0.585844
182.79,0.590924
184.276,0.596006
185.762,0.601089
187.249,0.606172
188.735,0.611255
190.221,0.616339
191.707,0.621422
193.193,0.626505
194.679,0.631587
196.165,0.636668
197.651,0.641748
199.137,0.646827
200.623,0.651903
202.11,0.656978
203.596,0.662049
205.082,0.667118
206.568,0.672183
208.054,0.677244
209.54,0.682301
211.026,0.687353
212.512,0.692401
213.998,0.697444
215.484,0.702481
216.971,0.707512
218.457,0.712535
219.943,0.717551
221.429,0.722559
222.915,0.727558
224.401,0.732549
225.887,0.73753
227.373,0.742501
228.859,0.747462
230.345,0.752412
231.832,0.757351
233.318,0.762277
234.804,0.767189
236.29,0.772087
237.776,0.77697
239.262,0.781837
240.748,0.786689
242.234,0.791525
243.72,0.796345
245.206,0.801147
246.693,0.805932
248.179,0.810699
249.665,0.815448
251.151,0.820179
252.637,0.82489
254.123,0.829581
255.609,0.834254
257.095,0.838905
258.581,0.843537
260.067,0.848148
261.554,0.852737
263.04,0.8573
264.526,0.861834
266.012,0.86634
267.498,0.870818
268.984,0.875266
270.47,0.879686
271.956,0.884076
273.442,0.888437
274.928,0.892768
276.415,0.897069
277.901,0.901312
279.387,0.905498
280.873,0.909626
282.359,0.913695
283.845,0.917707
285.331,0.92166
286.817,0.925555
288.303,0.929392
289.789,0.933169
291.276,0.936889
292.762,0.940501
294.248,0.944007
295.734,0.947406
297.22,0.9507
298.706,0.953889
300.192,0.956973
301.678,0.959953
303.164,0.962829
304.65,0.965603
306.137,0.968274
307.623,0.970823
309.109,0.973253
310.595,0.975564
312.081,0.977758
313.567,0.979835
315.053,0.981798
316.539,0.983648
318.025,0.985388
319.512,0.987018
320.998,0.98857
322.484,0.990046
323.97,0.991446
325.456,0.992772
326.942,0.994026
328.428,0.99521
329.914,0.996326
331.4,0.997376
332.886,0.998361
334.373,0.999283
335.859,1.00016
337.345,1.00099
338.831,1.00177
340.317,1.00251
341.803,1.0032
343.289,1.00386
344.775,1.00448
346.261,1.00506
347.747,1.00561
349.234,1.00612
350.72,1.0066
352.206,1.00705
353.692,1.00747
355.178,1.00787
356.664,1.00825
358.15,1.0086
359.636,1.00892
361.122,1.00923
362.608,1.00951
364.095,1.00978
365.581,1.01003
367.067,1.01026
368.553,1.01048
370.039,1.01069
371.525,1.01088
373.011,1.01107
374.497,1.01124
375.983,1.0114
377.469,1.01155
378.956,1.01169
380.442,1.01182
381.928,1.01195
383.414,1.01207
384.9,1.01218
386.386,1.01229
387.872,1.01239
389.358,1.01248
390.844,1.01257
392.33,1.01265
393.817,1.01273
395.303,1.01281
396.789,1.01288
398.275,1.01295
399.761,1.01301
401.247,1.01307
402.733,1.01313
404.219,1.01318
405.705,1.01323
407.191,1.01328
408.678,1.01332
410.164,1.01336
411.65,1.0134
413.136,1.01344
414.622,1.01347
416.108,1.01351
417.594,1.01354
419.08,1.01357
420.566,1.0136
422.052,1.01362
423.539,1.01365
425.025,1.01367
426.511,1.01369
427.997,1.01372
429.483,1.01374
430.969,1.01375
432.455,1.01377
433.941,1.01379
435.427,1.01381
436.913,1.01382
438.4,1.01384
439.886,1.01385
441.372,1.01386
442.858,1.01387
444.344,1.01388
445.83,1.0139
447.316,1.01391
448.802,1.01391
450.288,1.01392
451.774,1.01393
453.261,1.01394
454.747,1.01395
456.233,1.01396
457.719,1.01396
459.205,1.01397
460.691,1.01397
462.177,1.01398
463.663,1.01399
465.149,1.01399
466.635,1.01399
468.122,1.014
469.608,1.014
471.094,1.01401
472.58,1.01401
474.066,1.01401
475.552,1.01402
477.038,1.01402
478.524,1.01402
480.01,1.01403
481.496,1.01403
482.983,1.01403
484.469,1.01403
485.955,1.01404
487.441,1.01404
488.927,1.01404
490.413,1.01404
491.899,1.01404
493.385,1.01405
494.871,1.01405
496.357,1.01405
497.844,1.01405
499.33,1.01405
500.816,1.01405
502.302,1.01405
503.788,1.01405
505.274,1.01406
506.76,1.01406
508.246,1.01406
509.732,1.01406
511.218,1.01406
512.705,1.01406
514.191,1.01406
515.677,1.01406
517.163,1.01406
518.649,1.01406
520.135,1.01406
521.621,1.01406
523.107,1.01406
524.593,1.01406
526.079,1.01407
527.566,1.01407
529.052,1.01407
530.538,1.01407
532.024,1.01407
533.51,1.01407
534.996,1.01407
536.482,1.01407
537.968,1.01407
539.454,1.01407
540.94,1.01407
542.427,1.01407
543.913,1.01407
545.399,1.01407
546.885,1.01407
548.371,1.01407
549.857,1.01407
551.343,1.01407
552.829,1.01407
554.315,1.01407
555.801,1.01407
557.288,1.01407
558.774,1.01407
560.26,1.01407
561.746,1.01407
563.232,1.01407
564.718,1.01407
566.204,1.01407
567.69,1.01407
569.176,1.01407
570.662,1.01407
572.149,1.01407
573.635,1.01407
575.121,1.01407
576.607,1.01407
578.093,1.01407
579.579,1.01407
581.065,1.01407
582.551,1.01407
584.037,1.01407
585.523,1.01407
587.01,1.01407
588.496,1.01407
589.982,1.01407
591.468,1.01407
592.954,1.01407
594.44,1.01407
